# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
15.0, 25.0, 8.364042011922063, 8.520242229232842, 0.0
15.0, 25.0, 8.520242229232842, 8.676442446543623, 0.01674107560684586
15.0, 25.0, 8.676442446543623, 8.832642663854402, 0.0226663138062993
15.0, 25.0, 8.832642663854402, 8.988842881165183, 0.011688282111944344
15.0, 25.0, 8.988842881165183, 9.145043098475963, 0.0023738268944045074
15.0, 25.0, 9.145043098475963, 9.301243315786742, 0.02852202292918748
15.0, 25.0, 9.301243315786742, 9.457443533097523, 0.012292018225113815
15.0, 25.0, 9.457443533097523, 9.613643750408302, 0.04654421513378022
15.0, 25.0, 9.613643750408302, 9.769843967719083, 0.08812817993879657
15.0, 25.0, 9.769843967719083, 9.926044185029863, 0.10683396003334941
15.0, 25.0, 9.926044185029863, 10.082244402340642, 0.12295600749420879
15.0, 25.0, 10.082244402340642, 10.238444619651423, 0.06805334617247429
15.0, 25.0, 10.238444619651423, 10.394644836962202, 0.12454911884025086
15.0, 25.0, 10.394644836962202, 10.550845054272983, 0.07221516057098946
15.0, 25.0, 10.550845054272983, 10.707045271583763, 0.12070530028750381
15.0, 25.0, 10.707045271583763, 10.863245488894542, 0.10153926320072021
15.0, 25.0, 10.863245488894542, 11.019445706205323, 0.01676855844884346
15.0, 25.0, 11.019445706205323, 11.175645923516102, 0.012289467773914174
15.0, 25.0, 11.175645923516102, 11.331846140826883, 0.018244239405808386
15.0, 25.0, 11.331846140826883, 11.488046358137662, 0.0068896431255651095
15.0, 25.0, 11.488046358137662, 11.644246575448442, 0.0
15.0, 25.0, 11.644246575448442, 11.800446792759223, 0.0
15.0, 25.0, 11.800446792759223, 11.956647010070002, 0.0
15.0, 25.0, 11.956647010070002, 12.112847227380783, 0.0
15.0, 25.0, 12.112847227380783, 12.269047444691562, 0.0
25.0, 35.0, 8.364042011922063, 8.520242229232842, 0.0006650290186754729
25.0, 35.0, 8.520242229232842, 8.676442446543623, 0.0007807861366471327
25.0, 35.0, 8.676442446543623, 8.832642663854402, 0.0
25.0, 35.0, 8.832642663854402, 8.988842881165183, 0.004734469735695538
25.0, 35.0, 8.988842881165183, 9.145043098475963, 0.012462813279025002
25.0, 35.0, 9.145043098475963, 9.301243315786742, 0.007560833290420586
25.0, 35.0, 9.301243315786742, 9.457443533097523, 0.010111173629244474
25.0, 35.0, 9.457443533097523, 9.613643750408302, 0.022623645394603705
25.0, 35.0, 9.613643750408302, 9.769843967719083, 0.02052115030184144
25.0, 35.0, 9.769843967719083, 9.926044185029863, 0.04106232927866013
25.0, 35.0, 9.926044185029863, 10.082244402340642, 0.06297832884585103
25.0, 35.0, 10.082244402340642, 10.238444619651423, 0.049812796038208026
25.0, 35.0, 10.238444619651423, 10.394644836962202, 0.07698688030826387
25.0, 35.0, 10.394644836962202, 10.550845054272983, 0.08747452881541519
25.0, 35.0, 10.550845054272983, 10.707045271583763, 0.0859020354736366
25.0, 35.0, 10.707045271583763, 10.863245488894542, 0.10797027910692039
25.0, 35.0, 10.863245488894542, 11.019445706205323, 0.10342758795927287
25.0, 35.0, 11.019445706205323, 11.175645923516102, 0.10663149050136236
25.0, 35.0, 11.175645923516102, 11.331846140826883, 0.07308251361332392
25.0, 35.0, 11.331846140826883, 11.488046358137662, 0.06191169549703463
25.0, 35.0, 11.488046358137662, 11.644246575448442, 0.027341885211583265
25.0, 35.0, 11.644246575448442, 11.800446792759223, 0.016336511343254024
25.0, 35.0, 11.800446792759223, 11.956647010070002, 0.012554235627397973
25.0, 35.0, 11.956647010070002, 12.112847227380783, 0.005655654928945815
25.0, 35.0, 12.112847227380783, 12.269047444691562, 0.0014113466647162323
35.0, 45.0, 8.364042011922063, 8.520242229232842, 0.0
35.0, 45.0, 8.520242229232842, 8.676442446543623, 0.000782220071492783
35.0, 45.0, 8.676442446543623, 8.832642663854402, 0.0019081342193191092
35.0, 45.0, 8.832642663854402, 8.988842881165183, 0.0040554106445795475
35.0, 45.0, 8.988842881165183, 9.145043098475963, 0.002230180751101702
35.0, 45.0, 9.145043098475963, 9.301243315786742, 0.005106543965955727
35.0, 45.0, 9.301243315786742, 9.457443533097523, 0.01267121281734881
35.0, 45.0, 9.457443533097523, 9.613643750408302, 0.01257093880493731
35.0, 45.0, 9.613643750408302, 9.769843967719083, 0.019948978885419445
35.0, 45.0, 9.769843967719083, 9.926044185029863, 0.03309718106252767
35.0, 45.0, 9.926044185029863, 10.082244402340642, 0.045983684958659524
35.0, 45.0, 10.082244402340642, 10.238444619651423, 0.04813264626346947
35.0, 45.0, 10.238444619651423, 10.394644836962202, 0.06162928213006746
35.0, 45.0, 10.394644836962202, 10.550845054272983, 0.0815206155832261
35.0, 45.0, 10.550845054272983, 10.707045271583763, 0.09701599081767036
35.0, 45.0, 10.707045271583763, 10.863245488894542, 0.10319563407881834
35.0, 45.0, 10.863245488894542, 11.019445706205323, 0.11134433004660496
35.0, 45.0, 11.019445706205323, 11.175645923516102, 0.10217715796649217
35.0, 45.0, 11.175645923516102, 11.331846140826883, 0.07029283883988809
35.0, 45.0, 11.331846140826883, 11.488046358137662, 0.05782942239719352
35.0, 45.0, 11.488046358137662, 11.644246575448442, 0.05985457752987228
35.0, 45.0, 11.644246575448442, 11.800446792759223, 0.027900046583144995
35.0, 45.0, 11.800446792759223, 11.956647010070002, 0.023680023752796396
35.0, 45.0, 11.956647010070002, 12.112847227380783, 0.008594672755546482
35.0, 45.0, 12.112847227380783, 12.269047444691562, 0.008478275073867838
45.0, 55.0, 8.364042011922063, 8.520242229232842, 0.0019456612516535556
45.0, 55.0, 8.520242229232842, 8.676442446543623, 0.001542156637087741
45.0, 55.0, 8.676442446543623, 8.832642663854402, 0.003094709525876871
45.0, 55.0, 8.832642663854402, 8.988842881165183, 0.004392817653124431
45.0, 55.0, 8.988842881165183, 9.145043098475963, 0.009263274292597448
45.0, 55.0, 9.145043098475963, 9.301243315786742, 0.00858446147276385
45.0, 55.0, 9.301243315786742, 9.457443533097523, 0.016059128194342426
45.0, 55.0, 9.457443533097523, 9.613643750408302, 0.022846202772671895
45.0, 55.0, 9.613643750408302, 9.769843967719083, 0.0274627576922885
45.0, 55.0, 9.769843967719083, 9.926044185029863, 0.038719428940309504
45.0, 55.0, 9.926044185029863, 10.082244402340642, 0.06888522264662197
45.0, 55.0, 10.082244402340642, 10.238444619651423, 0.05783207999270878
45.0, 55.0, 10.238444619651423, 10.394644836962202, 0.05888507255999894
45.0, 55.0, 10.394644836962202, 10.550845054272983, 0.07616231322436846
45.0, 55.0, 10.550845054272983, 10.707045271583763, 0.07939958463955708
45.0, 55.0, 10.707045271583763, 10.863245488894542, 0.0960665001754146
45.0, 55.0, 10.863245488894542, 11.019445706205323, 0.0840881589567937
45.0, 55.0, 11.019445706205323, 11.175645923516102, 0.09330741316742686
45.0, 55.0, 11.175645923516102, 11.331846140826883, 0.058540176741190435
45.0, 55.0, 11.331846140826883, 11.488046358137662, 0.06829398460626764
45.0, 55.0, 11.488046358137662, 11.644246575448442, 0.04474510436832269
45.0, 55.0, 11.644246575448442, 11.800446792759223, 0.03237127400169599
45.0, 55.0, 11.800446792759223, 11.956647010070002, 0.02002079559783619
45.0, 55.0, 11.956647010070002, 12.112847227380783, 0.012574620867322264
45.0, 55.0, 12.112847227380783, 12.269047444691562, 0.014917100021758176
55.0, 65.0, 8.364042011922063, 8.520242229232842, 0.0037859103802884526
55.0, 65.0, 8.520242229232842, 8.676442446543623, 0.0008608568434644964
55.0, 65.0, 8.676442446543623, 8.832642663854402, 0.007044329990460662
55.0, 65.0, 8.832642663854402, 8.988842881165183, 0.015351466772223642
55.0, 65.0, 8.988842881165183, 9.145043098475963, 0.018468906959197923
55.0, 65.0, 9.145043098475963, 9.301243315786742, 0.02352400833029972
55.0, 65.0, 9.301243315786742, 9.457443533097523, 0.026730118230332195
55.0, 65.0, 9.457443533097523, 9.613643750408302, 0.028793555389500212
55.0, 65.0, 9.613643750408302, 9.769843967719083, 0.04495652067587212
55.0, 65.0, 9.769843967719083, 9.926044185029863, 0.055830569324586785
55.0, 65.0, 9.926044185029863, 10.082244402340642, 0.06321510872791083
55.0, 65.0, 10.082244402340642, 10.238444619651423, 0.06316190979969775
55.0, 65.0, 10.238444619651423, 10.394644836962202, 0.07177963749546219
55.0, 65.0, 10.394644836962202, 10.550845054272983, 0.07330029464640321
55.0, 65.0, 10.550845054272983, 10.707045271583763, 0.08969937972233934
55.0, 65.0, 10.707045271583763, 10.863245488894542, 0.07147085534819335
55.0, 65.0, 10.863245488894542, 11.019445706205323, 0.06714939390477101
55.0, 65.0, 11.019445706205323, 11.175645923516102, 0.06304863244396372
55.0, 65.0, 11.175645923516102, 11.331846140826883, 0.05771114495793918
55.0, 65.0, 11.331846140826883, 11.488046358137662, 0.04610564799277497
55.0, 65.0, 11.488046358137662, 11.644246575448442, 0.03810625788870242
55.0, 65.0, 11.644246575448442, 11.800446792759223, 0.028943341395629003
55.0, 65.0, 11.800446792759223, 11.956647010070002, 0.020426582278265482
55.0, 65.0, 11.956647010070002, 12.112847227380783, 0.013465414082670844
55.0, 65.0, 12.112847227380783, 12.269047444691562, 0.007070156419050545
65.0, 75.0, 8.364042011922063, 8.520242229232842, 0.00019979345446990388
65.0, 75.0, 8.520242229232842, 8.676442446543623, 0.0002656692728689117
65.0, 75.0, 8.676442446543623, 8.832642663854402, 0.003891197176118401
65.0, 75.0, 8.832642663854402, 8.988842881165183, 0.011506350683535208
65.0, 75.0, 8.988842881165183, 9.145043098475963, 0.027305881145943095
65.0, 75.0, 9.145043098475963, 9.301243315786742, 0.03138852306207977
65.0, 75.0, 9.301243315786742, 9.457443533097523, 0.039554788157951964
65.0, 75.0, 9.457443533097523, 9.613643750408302, 0.06329909551225285
65.0, 75.0, 9.613643750408302, 9.769843967719083, 0.06622487266751416
65.0, 75.0, 9.769843967719083, 9.926044185029863, 0.09107351654627538
65.0, 75.0, 9.926044185029863, 10.082244402340642, 0.08140030262589389
65.0, 75.0, 10.082244402340642, 10.238444619651423, 0.08797226660055901
65.0, 75.0, 10.238444619651423, 10.394644836962202, 0.08170376841688748
65.0, 75.0, 10.394644836962202, 10.550845054272983, 0.08056783729919172
65.0, 75.0, 10.550845054272983, 10.707045271583763, 0.07479520181833811
65.0, 75.0, 10.707045271583763, 10.863245488894542, 0.0660388031273412
65.0, 75.0, 10.863245488894542, 11.019445706205323, 0.06346370729921258
65.0, 75.0, 11.019445706205323, 11.175645923516102, 0.047214852943291134
65.0, 75.0, 11.175645923516102, 11.331846140826883, 0.034692061319147774
65.0, 75.0, 11.331846140826883, 11.488046358137662, 0.015370185123174767
65.0, 75.0, 11.488046358137662, 11.644246575448442, 0.012012085674698896
65.0, 75.0, 11.644246575448442, 11.800446792759223, 0.00711869473511224
65.0, 75.0, 11.800446792759223, 11.956647010070002, 0.004094863993105203
65.0, 75.0, 11.956647010070002, 12.112847227380783, 0.006680578812898799
65.0, 75.0, 12.112847227380783, 12.269047444691562, 0.002165102532137513
75.0, 95.0, 8.364042011922063, 8.520242229232842, 0.000692765275112294
75.0, 95.0, 8.520242229232842, 8.676442446543623, 0.0017359674796129016
75.0, 95.0, 8.676442446543623, 8.832642663854402, 0.003979916299561769
75.0, 95.0, 8.832642663854402, 8.988842881165183, 0.016527122128308168
75.0, 95.0, 8.988842881165183, 9.145043098475963, 0.03403242154338951
75.0, 95.0, 9.145043098475963, 9.301243315786742, 0.049081824247274336
75.0, 95.0, 9.301243315786742, 9.457443533097523, 0.061196946454144835
75.0, 95.0, 9.457443533097523, 9.613643750408302, 0.089357270890668
75.0, 95.0, 9.613643750408302, 9.769843967719083, 0.10239638662283924
75.0, 95.0, 9.769843967719083, 9.926044185029863, 0.09175492164188588
75.0, 95.0, 9.926044185029863, 10.082244402340642, 0.1034935013776627
75.0, 95.0, 10.082244402340642, 10.238444619651423, 0.0890918144848889
75.0, 95.0, 10.238444619651423, 10.394644836962202, 0.07837446113167736
75.0, 95.0, 10.394644836962202, 10.550845054272983, 0.06478325595898601
75.0, 95.0, 10.550845054272983, 10.707045271583763, 0.060634001379275465
75.0, 95.0, 10.707045271583763, 10.863245488894542, 0.038553393572748694
75.0, 95.0, 10.863245488894542, 11.019445706205323, 0.04135442646819129
75.0, 95.0, 11.019445706205323, 11.175645923516102, 0.027826274230689202
75.0, 95.0, 11.175645923516102, 11.331846140826883, 0.01618882280851793
75.0, 95.0, 11.331846140826883, 11.488046358137662, 0.00844095615411473
75.0, 95.0, 11.488046358137662, 11.644246575448442, 0.009871854835204166
75.0, 95.0, 11.644246575448442, 11.800446792759223, 0.0035514529166925557
75.0, 95.0, 11.800446792759223, 11.956647010070002, 0.0045531814142848615
75.0, 95.0, 11.956647010070002, 12.112847227380783, 0.001816309364699188
75.0, 95.0, 12.112847227380783, 12.269047444691562, 0.0007107513195700064
