# Age (lower edge), Age (upper edge), Log Net Income (lower edge), Log Net Income (upper edge), Probability
15.0, 25.0, 8.364042011922063, 8.520242229232842, 0.0026455888534377453
15.0, 25.0, 8.520242229232842, 8.676442446543623, 0.03676180055970725
15.0, 25.0, 8.676442446543623, 8.832642663854402, 0.011688282111944498
15.0, 25.0, 8.832642663854402, 8.988842881165183, 0.0
15.0, 25.0, 8.988842881165183, 9.145043098475963, 0.0023738268944045117
15.0, 25.0, 9.145043098475963, 9.301243315786742, 0.057657687676683535
15.0, 25.0, 9.301243315786742, 9.457443533097523, 0.01174256005509188
15.0, 25.0, 9.457443533097523, 9.613643750408302, 0.029462769067077305
15.0, 25.0, 9.613643750408302, 9.769843967719083, 0.13555228808081132
15.0, 25.0, 9.769843967719083, 9.926044185029863, 0.14848783568043425
15.0, 25.0, 9.926044185029863, 10.082244402340642, 0.09253454786697655
15.0, 25.0, 10.082244402340642, 10.238444619651423, 0.19802873823901984
15.0, 25.0, 10.238444619651423, 10.394644836962202, 0.09447358342860246
15.0, 25.0, 10.394644836962202, 10.550845054272983, 0.0689462902016155
15.0, 25.0, 10.550845054272983, 10.707045271583763, 0.05183219071833265
15.0, 25.0, 10.707045271583763, 10.863245488894542, 0.03267812803448708
15.0, 25.0, 10.863245488894542, 11.019445706205323, 0.018244239405808414
15.0, 25.0, 11.019445706205323, 11.175645923516102, 0.0
15.0, 25.0, 11.175645923516102, 11.331846140826883, 0.006889643125565044
15.0, 25.0, 11.331846140826883, 11.488046358137662, 0.0
15.0, 25.0, 11.488046358137662, 11.644246575448442, 0.0
15.0, 25.0, 11.644246575448442, 11.800446792759223, 0.0
15.0, 25.0, 11.800446792759223, 11.956647010070002, 0.0
15.0, 25.0, 11.956647010070002, 12.112847227380783, 0.0
15.0, 25.0, 12.112847227380783, 12.269047444691562, 0.0
25.0, 35.0, 8.364042011922063, 8.520242229232842, 0.0006650290186754734
25.0, 35.0, 8.520242229232842, 8.676442446543623, 0.0008619473214867583
25.0, 35.0, 8.676442446543623, 8.832642663854402, 0.0025932393479223704
25.0, 35.0, 8.832642663854402, 8.988842881165183, 0.004512704078656821
25.0, 35.0, 8.988842881165183, 9.145043098475963, 0.013895234375848555
25.0, 35.0, 9.145043098475963, 9.301243315786742, 0.006604981054237857
25.0, 35.0, 9.301243315786742, 9.457443533097523, 0.027459463226266755
25.0, 35.0, 9.457443533097523, 9.613643750408302, 0.02052094374060712
25.0, 35.0, 9.613643750408302, 9.769843967719083, 0.04572781338809564
25.0, 35.0, 9.769843967719083, 9.926044185029863, 0.06597425356634673
25.0, 35.0, 9.926044185029863, 10.082244402340642, 0.08761063337237644
25.0, 35.0, 10.082244402340642, 10.238444619651423, 0.06575584483947743
25.0, 35.0, 10.238444619651423, 10.394644836962202, 0.0954074564773102
25.0, 35.0, 10.394644836962202, 10.550845054272983, 0.11873130978329642
25.0, 35.0, 10.550845054272983, 10.707045271583763, 0.1337423080503072
25.0, 35.0, 10.707045271583763, 10.863245488894542, 0.12577723329700707
25.0, 35.0, 10.863245488894542, 11.019445706205323, 0.09269817588000272
25.0, 35.0, 11.019445706205323, 11.175645923516102, 0.05010563313322397
25.0, 35.0, 11.175645923516102, 11.331846140826883, 0.02607636538970868
25.0, 35.0, 11.331846140826883, 11.488046358137662, 0.009368657488718863
25.0, 35.0, 11.488046358137662, 11.644246575448442, 0.0042230655857436765
25.0, 35.0, 11.644246575448442, 11.800446792759223, 0.0005864881039954053
25.0, 35.0, 11.800446792759223, 11.956647010070002, 0.0011012194806881137
25.0, 35.0, 11.956647010070002, 12.112847227380783, 0.0
25.0, 35.0, 12.112847227380783, 12.269047444691562, 0.0
35.0, 45.0, 8.364042011922063, 8.520242229232842, 0.00046727762339742173
35.0, 45.0, 8.520242229232842, 8.676442446543623, 0.0014295715162303303
35.0, 45.0, 8.676442446543623, 8.832642663854402, 0.0024649622572131976
35.0, 45.0, 8.832642663854402, 8.988842881165183, 0.002801540971179437
35.0, 45.0, 8.988842881165183, 9.145043098475963, 0.003909788651028178
35.0, 45.0, 9.145043098475963, 9.301243315786742, 0.008370161489682133
35.0, 45.0, 9.301243315786742, 9.457443533097523, 0.013627478851816968
35.0, 45.0, 9.457443533097523, 9.613643750408302, 0.017296311083950067
35.0, 45.0, 9.613643750408302, 9.769843967719083, 0.04713981604868107
35.0, 45.0, 9.769843967719083, 9.926044185029863, 0.043049852041491615
35.0, 45.0, 9.926044185029863, 10.082244402340642, 0.05637824633543899
35.0, 45.0, 10.082244402340642, 10.238444619651423, 0.09522267749908411
35.0, 45.0, 10.238444619651423, 10.394644836962202, 0.09171267784297649
35.0, 45.0, 10.394644836962202, 10.550845054272983, 0.12492969784871208
35.0, 45.0, 10.550845054272983, 10.707045271583763, 0.1277969478930818
35.0, 45.0, 10.707045271583763, 10.863245488894542, 0.11041626472563607
35.0, 45.0, 10.863245488894542, 11.019445706205323, 0.09846615548231459
35.0, 45.0, 11.019445706205323, 11.175645923516102, 0.058083296400043845
35.0, 45.0, 11.175645923516102, 11.331846140826883, 0.04100600273254275
35.0, 45.0, 11.331846140826883, 11.488046358137662, 0.03395215013393421
35.0, 45.0, 11.488046358137662, 11.644246575448442, 0.014640259048504974
35.0, 45.0, 11.644246575448442, 11.800446792759223, 0.0038647650390484993
35.0, 45.0, 11.800446792759223, 11.956647010070002, 0.0025101499814933572
35.0, 45.0, 11.956647010070002, 12.112847227380783, 0.0003684080553382107
35.0, 45.0, 12.112847227380783, 12.269047444691562, 9.55404471795209e-05
45.0, 55.0, 8.364042011922063, 8.520242229232842, 0.0036142069397586828
45.0, 55.0, 8.520242229232842, 8.676442446543623, 0.0021570972517459355
45.0, 55.0, 8.676442446543623, 8.832642663854402, 0.007878615224855137
45.0, 55.0, 8.832642663854402, 8.988842881165183, 0.004137534916805393
45.0, 55.0, 8.988842881165183, 9.145043098475963, 0.008462781797742236
45.0, 55.0, 9.145043098475963, 9.301243315786742, 0.015529953810254394
45.0, 55.0, 9.301243315786742, 9.457443533097523, 0.021906458097142204
45.0, 55.0, 9.457443533097523, 9.613643750408302, 0.03130075233424544
45.0, 55.0, 9.613643750408302, 9.769843967719083, 0.042526753301524424
45.0, 55.0, 9.769843967719083, 9.926044185029863, 0.0667172145247989
45.0, 55.0, 9.926044185029863, 10.082244402340642, 0.07949563364433586
45.0, 55.0, 10.082244402340642, 10.238444619651423, 0.06284941573899361
45.0, 55.0, 10.238444619651423, 10.394644836962202, 0.0885194164734814
45.0, 55.0, 10.394644836962202, 10.550845054272983, 0.09294361512747476
45.0, 55.0, 10.550845054272983, 10.707045271583763, 0.09811725757148163
45.0, 55.0, 10.707045271583763, 10.863245488894542, 0.10935978507640817
45.0, 55.0, 10.863245488894542, 11.019445706205323, 0.0841510071181637
45.0, 55.0, 11.019445706205323, 11.175645923516102, 0.07248676055072971
45.0, 55.0, 11.175645923516102, 11.331846140826883, 0.05141646878258366
45.0, 55.0, 11.331846140826883, 11.488046358137662, 0.02529561097371874
45.0, 55.0, 11.488046358137662, 11.644246575448442, 0.017172942128679324
45.0, 55.0, 11.644246575448442, 11.800446792759223, 0.008695942845447523
45.0, 55.0, 11.800446792759223, 11.956647010070002, 0.004250104150953024
45.0, 55.0, 11.956647010070002, 12.112847227380783, 0.0010146716186761673
45.0, 55.0, 12.112847227380783, 12.269047444691562, 0.0
55.0, 65.0, 8.364042011922063, 8.520242229232842, 0.007474632169327907
55.0, 65.0, 8.520242229232842, 8.676442446543623, 0.006114475333537144
55.0, 65.0, 8.676442446543623, 8.832642663854402, 0.01121818016685632
55.0, 65.0, 8.832642663854402, 8.988842881165183, 0.016536900900105254
55.0, 65.0, 8.988842881165183, 9.145043098475963, 0.024283977215632652
55.0, 65.0, 9.145043098475963, 9.301243315786742, 0.026330713437837095
55.0, 65.0, 9.301243315786742, 9.457443533097523, 0.036533829819368834
55.0, 65.0, 9.457443533097523, 9.613643750408302, 0.040921748738663714
55.0, 65.0, 9.613643750408302, 9.769843967719083, 0.06722186447554458
55.0, 65.0, 9.769843967719083, 9.926044185029863, 0.06651936224407172
55.0, 65.0, 9.926044185029863, 10.082244402340642, 0.0872532068457055
55.0, 65.0, 10.082244402340642, 10.238444619651423, 0.07311104586826168
55.0, 65.0, 10.238444619651423, 10.394644836962202, 0.07975904195008594
55.0, 65.0, 10.394644836962202, 10.550845054272983, 0.09252554131469135
55.0, 65.0, 10.550845054272983, 10.707045271583763, 0.07043377966965504
55.0, 65.0, 10.707045271583763, 10.863245488894542, 0.07210773999927288
55.0, 65.0, 10.863245488894542, 11.019445706205323, 0.07170531552528805
55.0, 65.0, 11.019445706205323, 11.175645923516102, 0.0542184254944304
55.0, 65.0, 11.175645923516102, 11.331846140826883, 0.03685674022421074
55.0, 65.0, 11.331846140826883, 11.488046358137662, 0.03053367302989116
55.0, 65.0, 11.488046358137662, 11.644246575448442, 0.016212927378661687
55.0, 65.0, 11.644246575448442, 11.800446792759223, 0.005544293538634795
55.0, 65.0, 11.800446792759223, 11.956647010070002, 0.005122696493160621
55.0, 65.0, 11.956647010070002, 12.112847227380783, 0.001459888167104884
55.0, 65.0, 12.112847227380783, 12.269047444691562, 0.0
65.0, 75.0, 8.364042011922063, 8.520242229232842, 0.0029983335304321398
65.0, 75.0, 8.520242229232842, 8.676442446543623, 0.004118660037134003
65.0, 75.0, 8.676442446543623, 8.832642663854402, 0.011674076864730602
65.0, 75.0, 8.832642663854402, 8.988842881165183, 0.02164932697003576
65.0, 75.0, 8.988842881165183, 9.145043098475963, 0.02771351902239182
65.0, 75.0, 9.145043098475963, 9.301243315786742, 0.03525112399093177
65.0, 75.0, 9.301243315786742, 9.457443533097523, 0.04569913401988878
65.0, 75.0, 9.457443533097523, 9.613643750408302, 0.07541221958590513
65.0, 75.0, 9.613643750408302, 9.769843967719083, 0.08420088150309274
65.0, 75.0, 9.769843967719083, 9.926044185029863, 0.08463863282550062
65.0, 75.0, 9.926044185029863, 10.082244402340642, 0.09822719199531636
65.0, 75.0, 10.082244402340642, 10.238444619651423, 0.09974134868220359
65.0, 75.0, 10.238444619651423, 10.394644836962202, 0.08356517318918148
65.0, 75.0, 10.394644836962202, 10.550845054272983, 0.07702572786525923
65.0, 75.0, 10.550845054272983, 10.707045271583763, 0.0729445107743553
65.0, 75.0, 10.707045271583763, 10.863245488894542, 0.06607720999147039
65.0, 75.0, 10.863245488894542, 11.019445706205323, 0.04042718205080046
65.0, 75.0, 11.019445706205323, 11.175645923516102, 0.03195889124384843
65.0, 75.0, 11.175645923516102, 11.331846140826883, 0.0132883315274207
65.0, 75.0, 11.331846140826883, 11.488046358137662, 0.010645209193230205
65.0, 75.0, 11.488046358137662, 11.644246575448442, 0.004571217114625841
65.0, 75.0, 11.644246575448442, 11.800446792759223, 0.00762248622075283
65.0, 75.0, 11.800446792759223, 11.956647010070002, 0.0005496118014916118
65.0, 75.0, 11.956647010070002, 12.112847227380783, 0.0
65.0, 75.0, 12.112847227380783, 12.269047444691562, 0.0
75.0, 95.0, 8.364042011922063, 8.520242229232842, 0.002851457579541692
75.0, 95.0, 8.520242229232842, 8.676442446543623, 0.005337908931994919
75.0, 95.0, 8.676442446543623, 8.832642663854402, 0.015036538077460304
75.0, 95.0, 8.832642663854402, 8.988842881165183, 0.02007541401166142
75.0, 95.0, 8.988842881165183, 9.145043098475963, 0.04411356718713806
75.0, 95.0, 9.145043098475963, 9.301243315786742, 0.05859309901941708
75.0, 95.0, 9.301243315786742, 9.457443533097523, 0.0714514843131464
75.0, 95.0, 9.457443533097523, 9.613643750408302, 0.10624662262638838
75.0, 95.0, 9.613643750408302, 9.769843967719083, 0.11937510791852723
75.0, 95.0, 9.769843967719083, 9.926044185029863, 0.10098884285982368
75.0, 95.0, 9.926044185029863, 10.082244402340642, 0.10413376330854357
75.0, 95.0, 10.082244402340642, 10.238444619651423, 0.07704035182268597
75.0, 95.0, 10.238444619651423, 10.394644836962202, 0.07101536744195516
75.0, 95.0, 10.394644836962202, 10.550845054272983, 0.05793398164079609
75.0, 95.0, 10.550845054272983, 10.707045271583763, 0.04158177699939326
75.0, 95.0, 10.707045271583763, 10.863245488894542, 0.03981147522461602
75.0, 95.0, 10.863245488894542, 11.019445706205323, 0.030518582464623224
75.0, 95.0, 11.019445706205323, 11.175645923516102, 0.015230877094041828
75.0, 95.0, 11.175645923516102, 11.331846140826883, 0.007974551919092512
75.0, 95.0, 11.331846140826883, 11.488046358137662, 0.004258036468438037
75.0, 95.0, 11.488046358137662, 11.644246575448442, 0.002246032950606509
75.0, 95.0, 11.644246575448442, 11.800446792759223, 0.0030235397025426655
75.0, 95.0, 11.800446792759223, 11.956647010070002, 0.0010335060278358747
75.0, 95.0, 11.956647010070002, 12.112847227380783, 0.000128114409730179
75.0, 95.0, 12.112847227380783, 12.269047444691562, 0.0
